Nome;Região;Período;Resultado
01.01.01 Quantidade de famílias em situação de extrema pobreza (até 1/4 salário mínimo);Água Rasa (Distrito);2013;524
01.01.01 Quantidade de famílias em situação de extrema pobreza (até 1/4 salário mínimo);Água Rasa (Distrito);2023;3017
01.01.01 Quantidade de famílias em situação de extrema pobreza (até 1/4 salário mínimo);Água Rasa (Distrito);2015;628
01.01.01 Quantidade de famílias em situação de extrema pobreza (até 1/4 salário mínimo);Água Rasa (Distrito);2014;710
01.01.01 Quantidade de famílias em situação de extrema pobreza (até 1/4 salário mínimo);Água Rasa (Distrito);2019;1350
01.01.01 Quantidade de famílias em situação de extrema pobreza (até 1/4 salário mínimo);Água Rasa (Distrito);2017;1105
01.01.01 Quantidade de famílias em situação de extrema pobreza (até 1/4 salário mínimo);Água Rasa (Distrito);2025;1560
01.01.01 Quantidade de famílias em situação de extrema pobreza (até 1/4 salário mínimo);Água Rasa (Distrito);2018;1300
01.01.01 Quantidade de famílias em situação de extrema pobreza (até 1/4 salário mínimo);Água Rasa (Distrito);2021;1613
01.01.01 Quantidade de famílias em situação de extrema pobreza (até 1/4 salário mínimo);Água Rasa (Distrito);2022;2513
01.01.01 Quantidade de famílias em situação de extrema pobreza (até 1/4 salário mínimo);Água Rasa (Distrito);2024;2288
01.01.01 Quantidade de famílias em situação de extrema pobreza (até 1/4 salário mínimo);Água Rasa (Distrito);2016;763
01.01.01 Quantidade de famílias em situação de extrema pobreza (até 1/4 salário mínimo);Água Rasa (Distrito);2020;1386
01.01.01 Quantidade de famílias em situação de extrema pobreza (até 1/4 salário mínimo);Alto de Pinheiros (Distrito);2014;72
01.01.01 Quantidade de famílias em situação de extrema pobreza (até 1/4 salário mínimo);Alto de Pinheiros (Distrito);2016;49
01.01.01 Quantidade de famílias em situação de extrema pobreza (até 1/4 salário mínimo);Alto de Pinheiros (Distrito);2015;55
01.01.01 Quantidade de famílias em situação de extrema pobreza (até 1/4 salário mínimo);Alto de Pinheiros (Distrito);2013;49
01.01.01 Quantidade de famílias em situação de extrema pobreza (até 1/4 salário mínimo);Alto de Pinheiros (Distrito);2023;205
01.01.01 Quantidade de famílias em situação de extrema pobreza (até 1/4 salário mínimo);Alto de Pinheiros (Distrito);2025;99
